p9	jog	c2a	summer					
p18	jog	t2b	summer	jog_t2b_summer	p12,p18,p19,p23,p26,p28,p30	jog	t2b	summer
p26	jog	t2b	summer	jog_t2b_summer	p12,p18,p19,p23,p26,p28,p30	jog	t2b	summer
p30	jog	t2b	summer	jog_t2b_summer	p12,p18,p19,p23,p26,p28,p30	jog	t2b	summer
p10	run	c2a	badminton	run_c2a_badminton	p8,p10	run	c2a	badminton
p1	run	c2a	fast					
p7	run	c2b	tennis					
p27	run	t2a	fast					
p20	run	t2a	tennis	run_t2a_tennis	p20,p24,p29	run	t2a	tennis
p24	run	t2a	tennis	run_t2a_tennis	p20,p24,p29	run	t2a	tennis
p29	run	t2a	tennis	run_t2a_tennis	p20,p24,p29	run	t2a	tennis
p11	walk	c2a	office	walk_c2a_office	p11	walk	c2a	office
p4	walk	c2b	stroll					
p5	walk	c2c	saunter					
p21	walk	t2b	stroll					
p25	walk	t2b	stroll					
p15	walk	t2c	saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	walk	t2c	saunter
p16	walk	t2c	saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	walk	t2c	saunter
p17	walk	t2c	saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	walk	t2c	saunter
p22	walk	t2c	saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	walk	t2c	saunter
p31	walk	t2c	saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	walk	t2c	saunter
