p9	adidas	s1	m	jog	c2a	summer	white	jog_c2a_summer			
p18	nike	s1	m	jog	t2b	summer	blue	jog_t2b_summer	jog_t2b_summer	p12,p18,p19,p23,p26,p28,p30	p12,p19,p23,p26,p28,p30
p26	nike	s4	m	jog	t2b	summer	pola blue yellow	jog_t2b_summer	jog_t2b_summer	p12,p18,p19,p23,p26,p28,p30	p12,p18,p19,p23,p28,p30
p30	puma	s3	m	jog	t2b	summer	red	jog_t2b_summer	jog_t2b_summer	p12,p18,p19,p23,p26,p28,p30	p12,p18,p19,p23,p26,p28
p10	adidas	s2	m	run	c2a	badminton	white	run_c2a_badminton	run_c2a_badminton	p8,p10	p8
p1	nike	s1	m	run	c2a	fast	blue	run_c2a_fast			
p7	puma	s3	m	run	c2b	tennis	white	run_c2b_tennis			
p27	nike	s1	m	run	t2a	fast	blue	run_t2a_fast			
p20	adidas	s2	m	run	t2a	tennis	white	run_t2a_tennis	run_t2a_tennis	p20,p24,p29	p24,p29
p24	adidas	s2	m	run	t2a	tennis	white	run_t2a_tennis	run_t2a_tennis	p20,p24,p29	p20,p29
p29	adidas	s2	m	run	t2a	tennis	white	run_t2a_tennis	run_t2a_tennis	p20,p24,p29	p20,p24
p11	puma	s2	m	walk	c2a	office	black	walk_c2a_office	walk_c2a_office	p11	
p4	puma	s3	m	walk	c2b	stroll	red	walk_c2b_stroll			
p5	nike	s4	m	walk	c2c	saunter	pola blue yellow	walk_c2c_saunter			
p21	puma	s3	m	walk	t2b	stroll	red	walk_t2b_stroll			
p25	puma	s3	m	walk	t2b	stroll	red	walk_t2b_stroll			
p15	adidas	s2	m	walk	t2c	saunter	white	walk_t2c_saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	p14,p16,p17,p22,p31
p16	puma	s3	m	walk	t2c	saunter	red	walk_t2c_saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	p14,p15,p17,p22,p31
p17	nike	s4	m	walk	t2c	saunter	pola blue yellow	walk_t2c_saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	p14,p15,p16,p22,p31
p22	nike	s4	m	walk	t2c	saunter	pola blue yellow	walk_t2c_saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	p14,p15,p16,p17,p31
p31	nike	s4	m	walk	t2c	saunter	pola blue yellow	walk_t2c_saunter	walk_t2c_saunter	p14,p15,p16,p17,p22,p31	p14,p15,p16,p17,p22
